SAS_Angle[Deg],SAS_Speed,CR_Yrs_Yr,CR_Yrs_LatAc[g],ACCEL_REF_ACC[m/s^2],DriverBraking,CR_Mdps_DrvTq,CR_Brk_StkDep_Pc[%],CR_Yrs_LongAc[g],CR_Mdps_StrColTq[Nm],CR_Mdps_StrTq[Nm],CR_Mdps_OutTq,CF_Gway_TSigLHSw,CF_Gway_TSigRHSw,CR_Vcu_AccPedDep_Pc[%],CR_Mcu_VehSpd_Kph[kph],Time[s]
8.9,0,0.219999999999999,0.041935985,0,1,-0.059999999999999,38,0.03518034,-0.0625,-0.059999999999999,0,0,0,0,0,241
8.9,0,0.194999999999993,0.039896545,0,1,-0.059999999999999,38,0.032503575,-0.0625,-0.059999999999999,0,0,0,0,0,242
8.9,0,0.259999999999991,0.040151475,0,1,-0.059999999999999,38,0.028934555,-0.0625,-0.059999999999999,0,0,0,0,0,243
8.9,0,0.254999999999995,0.04308317,0,1,-0.059999999999999,39,0.031738785,-0.0546875,-0.059999999999999,0,0,0,0,0,244
8.9,0,0.210000000000008,0.044995145,0,1,-0.059999999999999,39,0.034033155,-0.0625,-0.059999999999999,0,0,0,0,0,245
8.9,0,0.259999999999991,0.04231838,0,1,-0.059999999999999,39,0.031738785,-0.0546875,-0.059999999999999,0,0,0,0,0,246
8.9,0,0.219999999999999,0.036837385,0,0,-0.109999999999999,0,0.032758505,-0.109375,-0.109999999999999,0,0,0,17.6470588215,0,247
8.9,0,0.275000000000006,0.04053387,0,1,0.390000000000001,39,0.032503575,0.3828125,0.379999999999999,0.400000000000006,0,0,0,0,248
12.1,12,0.219999999999999,0.047799375,0,0,1.56,0,0.06016348,1.4921875,1.49,7.80000000000001,0,0,13.7254901945,0,249
67.8,32,2.285,0.070488145,1.65,0,1.92,0,0.226505305,1.921875,1.92,9.5,0,0,26.6666666636,4,250
74.7,24,6.125,0.09967763,1.73,0,2.05,0,0.218857405,2.046875,2.05,8.5,0,0,29.8039215652,11,251
31.2,84,4.47,0.030464135,1.69,0,0.149999999999999,0,0.24167364,0.1484375,0.149999999999999,-1.30000000000001,0,0,29.8039215652,17,252
-10.1,20,-1.28999999999999,-0.000892255,1.69,0,-1.85,0,0.2090426,-1.859375,-1.86,-4.59999999999999,0,0,27.8431372517,23,253
-18.8,0,-4.03,-0.02243384,1.28,0,-1.22,0,0.17666649,-1.2109375,-1.21,-0.800000000000011,0,0,23.9215686247,28,254
-12.8,0,-3.32499999999999,-0.013383825,1.03,0,-1,0,0.142633335,-1.0078125,-1,-0.599999999999994,0,0,20.7843137231,32,255
-2,0,-0.509999999999991,0.032503575,1.06,0,-0.129999999999999,0,0.14327066,-0.1640625,-0.170000000000002,0.699999999999989,0,0,19.607843135,36,256
0,0,-0.504999999999995,0.046779655,0.74,0,0.190000000000001,0,0.112296665,0.2109375,0.210000000000001,0,0,0,17.6470588215,38,257
0.4,0,-0.360000000000014,0.036072595,0.619999999999999,0,0.48,0,0.098530445,0.4765625,0.469999999999999,0.300000000000011,0,0,14.9019607826,41,258
2.3,0,0.219999999999999,0.04359303,0.390000000000001,0,0.559999999999999,0,0.0790283,0.578125,0.579999999999998,0,0,0,13.7254901945,43,259
2.2,0,0.159999999999997,0.046014865,0.779999999999999,0,0.260000000000002,0,0.115355825,0.2578125,0.25,-0.5,0,0,18.8235294096,44,260
2.3,0,0.280000000000001,0.05939869,0.51,0,0.289999999999999,0,0.095216355,0.2890625,0.289999999999999,-0.099999999999994,0,0,15.686274508,46,261
0.6,0,-0.379999999999995,0.03135639,0.359999999999999,0,-0.41,0,0.06934096,-0.40625,-0.399999999999999,-0.800000000000011,0,0,13.7254901945,48,262
4.2,8,0.425000000000011,0.046014865,0.369999999999999,0,1.52,0,0.06092827,1.5234375,1.53,2.09999999999999,0,0,12.9411764691,49,263
4.7,0,0.764999999999986,0.081195205,0.17,0,0.609999999999999,0,0.05812404,0.6171875,0.609999999999999,0.199999999999989,0,0,12.9411764691,50,264
